algorithm,reward_mode,seed,episodes_or_iterations,success_rate,mean_return,mean_steps_when_solved,mean_wall_collisions,mean_penalty_entries,train_seconds,memory_kilobytes,policy_agreement,weighted_policy_agreement,late_return_std
value_iteration,sparse,,225,1.0,104.17,116.6,19.22,4.2,0.02407229999971605,548.2,1.0,1.0,
q_learning,sparse,1.0,3000,0.05,3.791000000000018,208.6,100.27333333333333,12.626666666666667,6.81132819999948,132.0,0.30954545454545457,0.32946259350884755,32.860303098876
q_learning,sparse,2.0,3000,0.0,-1.2499999999999822,,112.02,30.243333333333332,6.796143400000801,132.0,0.3109090909090909,0.33894658359808494,7.071001409807525
q_learning,sparse,3.0,3000,0.0,-1.2499999999999822,,107.32333333333334,11.523333333333333,6.8295094999994035,132.0,0.30272727272727273,0.32134409958227134,10.064302894388662
q_learning,sparse,4.0,3000,0.0,-1.2499999999999822,,109.68666666666667,11.326666666666666,6.810472300000583,132.0,0.29863636363636364,0.3310732519357375,15.749952095165245
q_learning,sparse,5.0,3000,0.0033333333333333335,-0.9108333333333157,190.0,86.95333333333333,5.86,6.8208543999999165,132.0,0.3236363636363636,0.35432281747817146,18.532911453344287
sarsa_lambda,sparse,1.0,3000,0.9833333333333333,99.07783333333336,184.43389830508474,44.76,5.486666666666666,7.704908000000614,132.0,0.3463636363636364,0.38058755915754267,19.98030904259241
sarsa_lambda,sparse,2.0,3000,0.9966666666666667,99.26000000000002,208.07692307692307,52.583333333333336,4.0633333333333335,7.7973986000006335,132.0,0.3490909090909091,0.38614608408608814,14.476487658872925
sarsa_lambda,sparse,3.0,3000,0.9366666666666666,93.58900000000001,199.96797153024912,51.443333333333335,4.57,7.764854500000183,132.0,0.34954545454545455,0.3848461875437514,50.43731468305485
sarsa_lambda,sparse,4.0,3000,1.0,99.67050000000002,206.59,59.556666666666665,7.753333333333333,7.739016300000003,132.0,0.34363636363636363,0.3794750918481602,27.346423850980955
sarsa_lambda,sparse,5.0,3000,1.0,100.03300000000003,199.34,51.44,4.403333333333333,7.692494400000214,132.0,0.3472727272727273,0.41325863583822,7.849838597066825
value_iteration,shaped,,225,1.0,108.63483333333332,116.70333333333333,19.03,4.2,0.024098799999592302,548.2,1.0,1.0,
q_learning,shaped,1.0,3000,1.0,98.03983333333332,160.73666666666668,26.356666666666666,4.413333333333333,6.052851499999633,132.0,0.5536363636363636,0.6753564498820265,10.534435960221135
q_learning,shaped,2.0,3000,1.0,100.2045,180.44333333333333,31.323333333333334,2.79,6.327021000000059,132.0,0.5213636363636364,0.6532070149091792,9.457759112892457
q_learning,shaped,3.0,3000,1.0,90.70016666666665,172.26333333333332,40.803333333333335,2.8766666666666665,6.215078400000493,132.0,0.5327272727272727,0.6462328677376241,9.030744307641552
q_learning,shaped,4.0,3000,1.0,98.49716666666667,179.32333333333332,33.00333333333333,2.8066666666666666,6.26337440000043,132.0,0.5268181818181819,0.6661550683245276,12.055079611412745
q_learning,shaped,5.0,3000,1.0,101.17033333333333,177.72666666666666,30.293333333333333,2.83,6.264973600000303,132.0,0.5290909090909091,0.6483880078736883,13.680847598010896
sarsa_lambda,shaped,1.0,3000,1.0,101.57516666666666,178.83,30.216666666666665,2.7533333333333334,7.193333400000483,132.0,0.4395454545454546,0.5362355957189913,10.958148919867805
sarsa_lambda,shaped,2.0,3000,1.0,89.67499999999997,209.5,33.63333333333333,4.1433333333333335,8.008686099999977,132.0,0.45136363636363636,0.5564514444184797,14.469365051722205
sarsa_lambda,shaped,3.0,3000,1.0,103.66383333333333,159.25666666666666,28.05666666666667,2.9633333333333334,7.0360827000004065,132.0,0.43863636363636366,0.5626409845324839,12.150205695275282
sarsa_lambda,shaped,4.0,3000,1.0,91.01083333333332,182.51666666666668,40.46333333333333,2.78,7.2753530999998475,132.0,0.43772727272727274,0.5467376698900809,10.12480957845629
sarsa_lambda,shaped,5.0,3000,1.0,105.44533333333332,157.09333333333333,27.433333333333334,2.7533333333333334,7.088817299999391,132.0,0.44227272727272726,0.5774383113648321,8.83970290436845
