algorithm,run_label,reward_mode,seed,config_hash,episode,steps,reward,mean_return_100,epsilon,alpha,energy_left,outcome,success,goal_success,energy_exhausted,max_steps_reached,wall_collisions,penalty_entries,door_blocked,door_crossings,key_pickups,slips,mean_abs_td_error,max_abs_td_error,mean_active_traces,max_active_traces,cfg_gamma,cfg_energy_bins,cfg_epsilon_schedule
q_learning,shaped_eps-linear_seed2,shaped,2,3d29f3ca91,1,225,-277.25000000000114,-277.25000000000114,0.9954761904761905,0.15,0,out_of_energy,0,0,1,0,111,28,0,0,0,34,1.3703026119718333,20.892500000000002,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed2,shaped,2,3d29f3ca91,2,225,-249.25000000000082,-263.25000000000097,0.9909523809523809,0.15,0,out_of_energy,0,0,1,0,111,21,0,0,0,47,1.1363641033958058,19.55,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed2,shaped,2,3d29f3ca91,3,225,-171.75000000000034,-232.75000000000077,0.9864285714285714,0.15,0,out_of_energy,0,0,1,0,88,10,0,0,0,43,0.9570340072004143,21.05,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed2,shaped,2,3d29f3ca91,4,225,-242.2500000000008,-235.12500000000077,0.981904761904762,0.15,0,out_of_energy,0,0,1,0,113,19,0,0,0,45,1.0350487872941545,20.55,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed2,shaped,2,3d29f3ca91,5,225,-251.25000000000105,-238.35000000000082,0.9773809523809524,0.15,0,out_of_energy,0,0,1,0,109,22,0,0,0,51,1.15211337454062,24.701775520625002,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed2,shaped,2,3d29f3ca91,6,225,-175.2500000000002,-227.83333333333405,0.9728571428571429,0.15,0,out_of_energy,0,0,1,0,89,10,0,0,0,44,0.8548986929421045,21.05,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed2,shaped,2,3d29f3ca91,7,225,-226.7500000000008,-227.67857142857216,0.9683333333333334,0.15,0,out_of_energy,0,0,1,0,110,17,0,0,0,46,0.9664602068115937,20.90252375,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed2,shaped,2,3d29f3ca91,8,225,-235.75000000000074,-228.68750000000074,0.9638095238095238,0.15,0,out_of_energy,0,0,1,0,100,21,0,0,0,32,1.1307732452686237,19.55,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed2,shaped,2,3d29f3ca91,9,225,-172.7500000000002,-222.4722222222229,0.9592857142857143,0.15,0,out_of_energy,0,0,1,0,98,8,0,0,0,45,0.7735580484632164,20.4675,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed2,shaped,2,3d29f3ca91,10,225,-239.75000000000108,-224.20000000000073,0.9547619047619048,0.15,0,out_of_energy,0,0,1,0,122,18,0,0,0,41,0.9619979928393608,21.1175,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed2,shaped,2,3d29f3ca91,11,225,-191.75000000000054,-221.2500000000007,0.9502380952380952,0.15,0,out_of_energy,0,0,1,0,118,9,0,0,0,47,0.9150186681603772,20.90252375,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed2,shaped,2,3d29f3ca91,12,225,-200.75000000000028,-219.54166666666734,0.9457142857142857,0.15,0,out_of_energy,0,0,1,0,78,19,0,0,0,50,1.0510479987081118,24.392500000000002,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed2,shaped,2,3d29f3ca91,13,225,-188.25000000000045,-217.13461538461604,0.9411904761904761,0.15,0,out_of_energy,0,0,1,0,93,13,0,0,0,38,0.8007090324097547,21.05,0.0,0.0,0.99,8,linear
q_learning,shaped_eps-linear_seed2,shaped,2,3d29f3ca91,14,225,-163.74999999999974,-213.32142857142915,0.9366666666666666,0.15,0,out_of_energy,0,0,1,0,96,7,0,0,0,40,0.7367994059758309,26.05,0.0,0.0,0.99,8,linear
