algorithm,reward_mode,seed,label,episodes,success_rate,key_rate,mean_return,std_return,mean_steps,mean_steps_when_solved,mean_energy_left,mean_wall_collisions,mean_penalty_entries,episodes_to_threshold,late_eval_success_std,late_return_std,memory_kilobytes,train_seconds
q_learning,sparse,1,sparse_seed1,3000,0.05,1.0,3.791000000000018,21.973254629207755,224.18,208.6,0.82,100.27333333333333,12.626666666666667,,0.013333333333333332,32.860303098876,132.0,6.81132819999948
q_learning,sparse,2,sparse_seed2,3000,0.0,1.0,-1.2499999999999822,0.0,225.0,,0.0,112.02,30.243333333333332,,0.0,7.071001409807525,132.0,6.796143400000801
q_learning,sparse,3,sparse_seed3,3000,0.0,1.0,-1.2499999999999822,0.0,225.0,,0.0,107.32333333333334,11.523333333333333,,0.0,10.064302894388662,132.0,6.8295094999994035
q_learning,sparse,4,sparse_seed4,3000,0.0,1.0,-1.2499999999999822,0.0,225.0,,0.0,109.68666666666667,11.326666666666666,,0.0,15.749952095165245,132.0,6.810472300000583
q_learning,sparse,5,sparse_seed5,3000,0.0033333333333333335,1.0,-0.9108333333333157,5.86473991798064,224.88333333333333,190.0,0.11666666666666667,86.95333333333333,5.86,,0.0,18.532911453344287,132.0,6.8208543999999165
q_learning,shaped,1,shaped_seed1,3000,1.0,1.0,98.03983333333332,9.764386222674503,160.73666666666668,160.73666666666668,64.26333333333334,26.356666666666666,4.413333333333333,700.0,0.0,10.534435960221135,132.0,6.052851499999633
q_learning,shaped,2,shaped_seed2,3000,1.0,1.0,100.2045,7.9920974353837,180.44333333333333,180.44333333333333,44.556666666666665,31.323333333333334,2.79,700.0,0.0,9.457759112892457,132.0,6.327021000000059
q_learning,shaped,3,shaped_seed3,3000,1.0,1.0,90.70016666666665,9.201944086562495,172.26333333333332,172.26333333333332,52.736666666666665,40.803333333333335,2.8766666666666665,800.0,0.0,9.030744307641552,132.0,6.215078400000493
q_learning,shaped,4,shaped_seed4,3000,1.0,1.0,98.49716666666667,7.288506955398272,179.32333333333332,179.32333333333332,45.67666666666667,33.00333333333333,2.8066666666666666,800.0,0.0,12.055079611412745,132.0,6.26337440000043
q_learning,shaped,5,shaped_seed5,3000,1.0,1.0,101.17033333333333,8.050169970600344,177.72666666666666,177.72666666666666,47.27333333333333,30.293333333333333,2.83,700.0,0.0,13.680847598010896,132.0,6.264973600000303
