episode,update,state,action,reward,next_state,done,q_old,q_new,td_error,alpha,gamma,epsilon
3,500,"(8, 1, 0, 176)",0,-4.55,"(7, 1, 0, 175)",0,-0.672476,-1.234072,-3.743974,0.15,0.99,0.996004
5,1000,"(15, 1, 0, 126)",3,0.45,"(14, 1, 0, 125)",0,0.0,0.077524,0.516825,0.15,0.99,0.992024
7,1500,"(2, 3, 0, 76)",3,-1.05,"(2, 3, 0, 75)",0,0.0,-0.1575,-1.05,0.15,0.99,0.98806
9,2000,"(3, 12, 0, 26)",2,-1.05,"(3, 12, 0, 25)",0,0.0,-0.1575,-1.05,0.15,0.99,0.984112
12,2500,"(3, 1, 0, 201)",1,0.45,"(3, 2, 0, 200)",0,0.286177,0.331004,0.298846,0.15,0.99,0.978219
14,3000,"(1, 1, 0, 151)",2,0.45,"(2, 1, 0, 150)",0,0.39865,0.430497,0.212309,0.15,0.99,0.97431
16,3500,"(1, 6, 0, 101)",3,-0.55,"(1, 5, 0, 100)",0,-0.130981,-0.17881,-0.318863,0.15,0.99,0.970416
18,4000,"(1, 4, 0, 51)",2,-6.05,"(1, 4, 0, 50)",0,-2.001632,-2.621139,-4.130043,0.15,0.99,0.966539
20,4500,"(11, 1, 0, 1)",3,-21.05,"(11, 1, 0, 0)",1,-0.291375,-3.405169,-20.758625,0.15,0.99,0.962676
23,5000,"(1, 7, 0, 176)",2,-1.05,"(1, 7, 0, 175)",0,0.0675,-0.090101,-1.050675,0.15,0.99,0.956912
25,5500,"(5, 3, 0, 126)",0,0.45,"(4, 3, 0, 125)",0,0.088835,0.132364,0.290194,0.15,0.99,0.953088
27,6000,"(4, 11, 0, 76)",1,-1.05,"(4, 11, 0, 75)",0,0.0,-0.1575,-1.05,0.15,0.99,0.949279
29,6500,"(9, 8, 0, 26)",0,-1.05,"(9, 8, 0, 25)",0,0.0,-0.147476,-0.983175,0.15,0.99,0.945486
32,7000,"(3, 2, 0, 201)",2,-1.05,"(3, 2, 0, 200)",0,-0.574774,-0.611181,-0.242717,0.15,0.99,0.939825
34,7500,"(1, 1, 0, 151)",0,-1.05,"(1, 1, 0, 150)",0,-0.640429,-0.670777,-0.202321,0.15,0.99,0.936069
36,8000,"(11, 2, 0, 101)",1,-0.55,"(11, 3, 0, 100)",0,0.0,-0.072476,-0.483175,0.15,0.99,0.932328
38,8500,"(9, 3, 0, 51)",3,0.45,"(9, 2, 0, 50)",0,0.156831,0.207071,0.334931,0.15,0.99,0.928603
40,9000,"(5, 4, 0, 1)",3,-19.55,"(5, 3, 0, 0)",1,-2.655167,-5.189392,-16.894833,0.15,0.99,0.924892
43,9500,"(11, 2, 0, 176)",0,-1.05,"(11, 2, 0, 175)",0,0.0675,-0.081581,-0.993874,0.15,0.99,0.919354
45,10000,"(1, 8, 0, 126)",0,-1.05,"(1, 8, 0, 125)",0,-0.347386,-0.449183,-0.678646,0.15,0.99,0.91568
47,10500,"(4, 3, 0, 76)",1,0.45,"(3, 3, 0, 75)",0,-0.361897,-0.182273,1.197494,0.15,0.99,0.912021
49,11000,"(1, 10, 0, 26)",0,-1.05,"(1, 10, 0, 25)",0,-0.470832,-0.526254,-0.369483,0.15,0.99,0.908377
52,11500,"(3, 3, 0, 201)",2,-1.05,"(3, 3, 0, 200)",0,-0.368514,-0.449411,-0.539316,0.15,0.99,0.902937
54,12000,"(9, 5, 0, 151)",0,0.45,"(8, 5, 0, 150)",0,0.254216,0.293607,0.262609,0.15,0.99,0.899329
56,12500,"(5, 7, 0, 101)",1,-1.05,"(5, 7, 0, 100)",0,0.189741,0.046562,-0.954523,0.15,0.99,0.895735
58,13000,"(3, 9, 0, 51)",3,0.45,"(3, 8, 0, 50)",0,0.268297,0.355084,0.578585,0.15,0.99,0.892156
60,13500,"(9, 13, 0, 1)",1,-21.05,"(9, 13, 0, 0)",1,-0.1575,-3.291375,-20.8925,0.15,0.99,0.888591
63,14000,"(1, 5, 0, 176)",0,-1.05,"(1, 5, 0, 175)",0,-0.461812,-0.499612,-0.252004,0.15,0.99,0.88327
65,14500,"(3, 2, 0, 126)",1,-1.05,"(3, 2, 0, 125)",0,-0.06679,-0.22419,-1.049332,0.15,0.99,0.879741
67,15000,"(5, 3, 0, 76)",2,-1.05,"(5, 3, 0, 75)",0,-0.320525,-0.398303,-0.518523,0.15,0.99,0.876225
69,15500,"(3, 13, 0, 26)",3,0.45,"(3, 12, 0, 25)",0,0.143722,0.226838,0.554108,0.15,0.99,0.872724
72,16000,"(2, 1, 0, 201)",1,-1.05,"(2, 1, 0, 200)",0,0.478465,0.408624,-0.46561,0.15,0.99,0.867498
74,16500,"(4, 3, 0, 151)",0,0.45,"(3, 3, 0, 150)",0,-0.047868,-0.019611,0.188382,0.15,0.99,0.864031
76,17000,"(4, 3, 0, 101)",2,-0.55,"(5, 3, 0, 100)",0,-0.258197,-0.244376,0.092143,0.15,0.99,0.860579
78,17500,"(3, 2, 0, 51)",0,-1.05,"(3, 2, 0, 50)",0,-0.61587,-0.634329,-0.123058,0.15,0.99,0.85714
80,18000,"(3, 15, 0, 1)",0,-21.05,"(3, 15, 0, 0)",1,-0.2776,-3.39346,-20.7724,0.15,0.99,0.853715
83,18500,"(3, 1, 0, 176)",1,-0.55,"(2, 1, 0, 175)",0,0.443051,0.416941,-0.174069,0.15,0.99,0.848603
85,19000,"(5, 3, 0, 126)",0,0.45,"(4, 3, 0, 125)",0,0.36493,0.36581,0.005866,0.15,0.99,0.845212
87,19500,"(2, 3, 0, 76)",2,-1.05,"(2, 3, 0, 75)",0,-0.638996,-0.795537,-1.04361,0.15,0.99,0.841834
89,20000,"(1, 10, 0, 26)",0,-1.05,"(1, 10, 0, 25)",0,-3.23543,-2.886338,2.327284,0.15,0.99,0.83847
92,20500,"(2, 1, 0, 201)",0,-0.55,"(1, 1, 0, 200)",0,0.355751,0.373875,0.120829,0.15,0.99,0.833449
94,21000,"(3, 1, 0, 151)",2,-0.55,"(4, 1, 0, 150)",0,-0.32729,-0.289436,0.25236,0.15,0.99,0.830119
96,21500,"(3, 3, 0, 101)",1,-1.05,"(3, 3, 0, 100)",0,-0.991445,-1.026128,-0.231225,0.15,0.99,0.826802
98,22000,"(5, 8, 0, 51)",1,0.45,"(5, 9, 0, 50)",0,0.253959,0.346531,0.617146,0.15,0.99,0.823498
100,22500,"(5, 15, 0, 1)",0,-21.05,"(5, 15, 0, 0)",1,-0.606322,-3.672874,-20.443678,0.15,0.99,0.820207
103,23000,"(2, 5, 0, 176)",3,-1.05,"(2, 5, 0, 175)",0,-0.851898,-0.825113,0.178562,0.15,0.99,0.815296
105,23500,"(4, 1, 0, 126)",0,0.45,"(3, 1, 0, 125)",0,0.258714,0.286463,0.184989,0.15,0.99,0.812038
107,24000,"(3, 13, 0, 76)",3,0.45,"(3, 12, 0, 75)",0,0.085456,0.12609,0.270897,0.15,0.99,0.808793
109,24500,"(2, 1, 0, 26)",0,-1.05,"(2, 1, 0, 25)",0,-0.806748,-0.786064,0.13789,0.15,0.99,0.805561
112,25000,"(4, 1, 0, 201)",1,-1.05,"(4, 1, 0, 200)",0,0.032561,-0.001097,-0.224384,0.15,0.99,0.800737
114,25500,"(2, 1, 0, 151)",0,-0.55,"(1, 1, 0, 150)",0,-0.186805,-0.162274,0.163543,0.15,0.99,0.797538
116,26000,"(3, 2, 0, 101)",0,-0.55,"(3, 1, 0, 100)",0,-0.772869,-0.691551,0.542116,0.15,0.99,0.794351
118,26500,"(3, 7, 0, 51)",1,-0.55,"(3, 8, 0, 50)",0,-0.175905,-0.113498,0.416045,0.15,0.99,0.791176
120,27000,"(3, 11, 0, 1)",1,-20.55,"(3, 12, 0, 0)",1,-2.049433,-4.824518,-18.500567,0.15,0.99,0.788015
123,27500,"(3, 3, 0, 176)",3,-0.55,"(3, 2, 0, 175)",0,-1.041938,-1.073503,-0.210437,0.15,0.99,0.783296
125,28000,"(1, 4, 0, 126)",1,0.45,"(1, 5, 0, 125)",0,-0.168718,0.008166,1.179224,0.15,0.99,0.780166
127,28500,"(3, 2, 0, 76)",3,-0.55,"(3, 1, 0, 75)",0,-0.231971,-0.20663,0.168939,0.15,0.99,0.777049
129,29000,"(1, 15, 0, 26)",2,0.45,"(2, 15, 0, 25)",0,0.280723,0.275543,-0.034533,0.15,0.99,0.773944
132,29500,"(3, 1, 0, 201)",1,0.45,"(3, 2, 0, 200)",0,0.147219,0.135256,-0.079755,0.15,0.99,0.769309
134,30000,"(5, 5, 0, 151)",2,-1.05,"(5, 5, 0, 150)",0,-0.276729,-0.346984,-0.468365,0.15,0.99,0.766235
136,30500,"(5, 3, 0, 101)",0,0.45,"(4, 3, 0, 100)",0,0.076881,0.090586,0.091365,0.15,0.99,0.763173
138,31000,"(4, 3, 0, 51)",1,0.45,"(3, 3, 0, 50)",0,-0.900162,-0.753307,0.979034,0.15,0.99,0.760123
140,31500,"(3, 13, 0, 1)",0,-21.05,"(3, 13, 0, 0)",1,-1.896565,-4.76958,-19.153435,0.15,0.99,0.757086
143,32000,"(3, 2, 0, 176)",0,-1.05,"(3, 2, 0, 175)",0,-1.572062,-1.662551,-0.603257,0.15,0.99,0.752553
145,32500,"(5, 12, 0, 126)",2,-1.05,"(5, 12, 0, 125)",0,0.0,-0.1575,-1.05,0.15,0.99,0.749545
147,33000,"(3, 2, 0, 76)",1,0.45,"(3, 3, 0, 75)",0,-0.4927,-0.453833,0.259116,0.15,0.99,0.74655
149,33500,"(5, 14, 0, 26)",2,-1.05,"(5, 14, 0, 25)",0,-1.451709,-1.431915,0.131959,0.15,0.99,0.743567
152,34000,"(1, 3, 0, 201)",2,-0.55,"(2, 3, 0, 200)",0,-2.432329,-2.369944,0.415901,0.15,0.99,0.739115
154,34500,"(3, 3, 0, 151)",3,-0.55,"(3, 2, 0, 150)",0,-1.422074,-1.435999,-0.092838,0.15,0.99,0.736161
156,35000,"(2, 1, 0, 101)",2,0.45,"(3, 1, 0, 100)",0,0.241097,0.244583,0.023242,0.15,0.99,0.733219
