episode,update,state,action,reward,next_state,done,q_old,q_new,td_error,alpha,gamma,epsilon
3,500,"(3, 2, 0, 176)",0,-1.05,"(3, 2, 0, 175)",0,-0.291257,-0.405068,-0.758743,0.15,0.99,0.990952
5,1000,"(5, 1, 0, 126)",2,-1.05,"(5, 1, 0, 125)",0,0.0,-0.1575,-1.05,0.15,0.99,0.981905
7,1500,"(3, 1, 0, 76)",0,-0.55,"(2, 1, 0, 75)",0,-0.0825,-0.142601,-0.400675,0.15,0.99,0.972857
9,2000,"(7, 15, 0, 26)",1,-6.05,"(7, 15, 0, 25)",0,0.0,-0.9075,-6.05,0.15,0.99,0.96381
12,2500,"(3, 2, 0, 201)",2,-1.05,"(3, 2, 0, 200)",0,-0.077114,-0.183002,-0.70592,0.15,0.99,0.950238
14,3000,"(2, 3, 0, 151)",2,-0.55,"(3, 3, 0, 150)",0,-0.318425,-0.307125,0.075332,0.15,0.99,0.94119
16,3500,"(1, 4, 0, 101)",2,-6.05,"(1, 4, 0, 100)",0,-2.334544,-2.918,-3.88971,0.15,0.99,0.932143
18,4000,"(2, 5, 0, 51)",0,0.45,"(1, 5, 0, 50)",0,0.124875,0.173644,0.325125,0.15,0.99,0.923095
20,4500,"(3, 2, 0, 1)",2,-21.05,"(3, 2, 0, 0)",1,-0.058335,-3.207085,-20.991665,0.15,0.99,0.914048
23,5000,"(5, 4, 0, 176)",0,-1.05,"(5, 4, 0, 175)",0,-0.645409,-0.666745,-0.142242,0.15,0.99,0.900476
25,5500,"(3, 5, 0, 126)",1,-0.55,"(3, 6, 0, 125)",0,-0.202208,-0.253741,-0.343555,0.15,0.99,0.891429
27,6000,"(1, 13, 0, 76)",0,-1.05,"(1, 13, 0, 75)",0,-0.5974,-0.655586,-0.387909,0.15,0.99,0.882381
29,6500,"(1, 12, 0, 26)",2,-1.05,"(1, 12, 0, 25)",0,-0.446708,-0.53683,-0.600813,0.15,0.99,0.873333
32,7000,"(5, 3, 0, 201)",3,-1.05,"(5, 3, 0, 200)",0,0.071955,-0.063822,-0.90518,0.15,0.99,0.859762
34,7500,"(9, 2, 0, 151)",2,-1.05,"(9, 2, 0, 150)",0,0.0,-0.147476,-0.983175,0.15,0.99,0.850714
36,8000,"(2, 3, 0, 101)",2,-0.55,"(3, 3, 0, 100)",0,-0.264836,-0.285899,-0.140418,0.15,0.99,0.841667
38,8500,"(8, 5, 0, 51)",2,-0.55,"(9, 5, 0, 50)",0,0.0,-0.056714,-0.378093,0.15,0.99,0.832619
40,9000,"(5, 15, 0, 1)",2,-19.55,"(6, 15, 0, 0)",1,0.124875,-2.826356,-19.674875,0.15,0.99,0.823571
43,9500,"(1, 6, 0, 176)",0,-1.05,"(1, 6, 0, 175)",0,-0.707013,-0.73472,-0.184716,0.15,0.99,0.81
45,10000,"(2, 3, 0, 126)",3,-1.05,"(2, 3, 0, 125)",0,-1.298187,-1.379237,-0.540331,0.15,0.99,0.800952
47,10500,"(3, 7, 0, 76)",0,0.45,"(3, 6, 0, 75)",0,-0.025435,0.06337,0.592033,0.15,0.99,0.791905
49,11000,"(7, 15, 1, 26)",0,0.45,"(6, 15, 1, 25)",0,-2.425125,-1.983833,2.94195,0.15,0.99,0.782857
52,11500,"(4, 3, 0, 201)",1,-0.55,"(5, 3, 0, 200)",0,-0.565141,-0.497133,0.453386,0.15,0.99,0.769286
54,12000,"(3, 3, 0, 151)",2,-0.55,"(4, 3, 0, 150)",0,-0.149422,-0.14292,0.043351,0.15,0.99,0.760238
56,12500,"(3, 2, 0, 101)",1,-1.05,"(3, 2, 0, 100)",0,0.020109,-0.137421,-1.050201,0.15,0.99,0.75119
58,13000,"(3, 11, 0, 51)",1,-0.55,"(3, 12, 0, 50)",0,-0.176474,-0.177333,-0.005724,0.15,0.99,0.742143
60,13500,"(7, 15, 0, 1)",1,-26.05,"(7, 15, 0, 0)",1,-4.642847,-7.85392,-21.407153,0.15,0.99,0.733095
63,14000,"(1, 6, 0, 176)",1,0.45,"(1, 7, 0, 175)",0,0.180539,0.269266,0.591519,0.15,0.99,0.719524
65,14500,"(2, 15, 0, 126)",2,-1.05,"(2, 15, 0, 125)",0,0.240049,0.082189,-1.0524,0.15,0.99,0.710476
67,15000,"(1, 6, 0, 76)",1,-1.05,"(1, 6, 0, 75)",0,0.147019,-0.010702,-1.05147,0.15,0.99,0.701429
69,15500,"(1, 8, 0, 26)",1,0.45,"(1, 9, 0, 25)",0,0.249859,0.174967,-0.499279,0.15,0.99,0.692381
72,16000,"(3, 2, 0, 201)",2,-1.05,"(3, 2, 0, 200)",0,-0.890633,-0.952501,-0.412451,0.15,0.99,0.67881
74,16500,"(3, 12, 0, 151)",0,-1.05,"(3, 12, 0, 150)",0,-0.1575,-0.291375,-0.8925,0.15,0.99,0.669762
76,17000,"(6, 3, 0, 101)",3,-1.05,"(6, 3, 0, 100)",0,-0.445416,-0.429492,0.10616,0.15,0.99,0.660714
78,17500,"(1, 7, 0, 51)",0,-1.05,"(1, 7, 0, 50)",0,-0.537593,-0.555847,-0.121689,0.15,0.99,0.651667
80,18000,"(4, 11, 0, 1)",3,-19.55,"(5, 11, 0, 0)",1,-2.508943,-5.065101,-17.041057,0.15,0.99,0.642619
83,18500,"(4, 1, 0, 176)",2,-1.05,"(4, 1, 0, 175)",0,-0.036069,-0.187232,-1.007758,0.15,0.99,0.629048
85,19000,"(1, 1, 0, 126)",0,-1.05,"(1, 1, 0, 125)",0,-0.541211,-0.568197,-0.179908,0.15,0.99,0.62
87,19500,"(3, 2, 0, 76)",2,0.45,"(3, 3, 0, 75)",0,-0.584803,-0.441181,0.957478,0.15,0.99,0.610952
89,20000,"(9, 15, 1, 26)",3,-1.05,"(9, 15, 1, 25)",0,-0.725226,-0.881638,-1.042748,0.15,0.99,0.601905
92,20500,"(1, 3, 0, 201)",0,-1.05,"(1, 3, 0, 200)",0,-2.387302,-2.49009,-0.685252,0.15,0.99,0.588333
94,21000,"(4, 3, 0, 151)",2,-0.55,"(5, 3, 0, 150)",0,-0.612549,-0.581179,0.20913,0.15,0.99,0.579286
96,21500,"(4, 3, 0, 101)",1,-1.05,"(4, 3, 0, 100)",0,-0.830636,-0.903237,-0.484006,0.15,0.99,0.570238
98,22000,"(10, 15, 1, 51)",0,0.45,"(9, 15, 1, 50)",0,0.114802,0.151752,0.246332,0.15,0.99,0.56119
100,22500,"(5, 14, 0, 1)",1,-19.55,"(5, 15, 0, 0)",1,-2.63893,-5.17559,-16.91107,0.15,0.99,0.552143
103,23000,"(1, 5, 0, 176)",3,-5.55,"(1, 4, 0, 175)",0,-3.93206,-4.137221,-1.367739,0.15,0.99,0.538571
105,23500,"(3, 3, 0, 126)",3,-0.55,"(3, 2, 0, 125)",0,-1.123152,-1.142535,-0.129214,0.15,0.99,0.529524
107,24000,"(5, 12, 0, 76)",1,0.45,"(5, 13, 0, 75)",0,0.001458,0.006189,0.03154,0.15,0.99,0.520476
109,24500,"(9, 15, 1, 26)",1,0.45,"(8, 15, 1, 25)",0,-1.75918,-1.829996,-0.47211,0.15,0.99,0.511429
112,25000,"(1, 3, 0, 201)",0,-1.05,"(1, 3, 0, 200)",0,-3.019353,-3.152424,-0.887137,0.15,0.99,0.497857
114,25500,"(6, 3, 0, 151)",0,0.45,"(5, 3, 0, 150)",0,0.172467,0.16545,-0.046779,0.15,0.99,0.48881
116,26000,"(1, 5, 0, 101)",1,-1.05,"(1, 5, 0, 100)",0,0.714792,0.55622,-1.057148,0.15,0.99,0.479762
118,26500,"(5, 15, 0, 51)",3,-0.55,"(5, 14, 0, 50)",0,-1.394415,-1.404863,-0.069654,0.15,0.99,0.470714
120,27000,"(10, 15, 1, 1)",2,-20.55,"(11, 15, 1, 0)",1,-1.767479,-4.584857,-18.782521,0.15,0.99,0.461667
123,27500,"(3, 1, 0, 176)",2,-0.55,"(4, 1, 0, 175)",0,-0.838049,-0.84346,-0.036069,0.15,0.99,0.448095
125,28000,"(5, 3, 0, 126)",1,-0.55,"(5, 4, 0, 125)",0,-0.192219,-0.206395,-0.094506,0.15,0.99,0.439048
127,28500,"(6, 3, 0, 76)",2,-0.55,"(7, 3, 0, 75)",0,-0.322829,-0.298971,0.159054,0.15,0.99,0.43
129,29000,"(1, 14, 0, 26)",1,0.45,"(1, 15, 0, 25)",0,-0.005907,0.036602,0.283397,0.15,0.99,0.420952
132,29500,"(4, 1, 0, 201)",2,-0.55,"(5, 1, 0, 200)",0,-0.737273,-0.731505,0.038449,0.15,0.99,0.407381
134,30000,"(5, 3, 0, 151)",3,-1.05,"(5, 3, 0, 150)",0,-1.145256,-1.243669,-0.656083,0.15,0.99,0.398333
