episode,update,state,action,reward,next_state,done,q_old,q_new,td_error,alpha,gamma,epsilon
3,500,"(8, 1, 0, 176)",0,-0.05,"(7, 1, 0, 175)",0,-0.0075,-0.013875,-0.0425,0.15,0.99,0.990952
5,1000,"(15, 1, 0, 126)",3,-0.05,"(14, 1, 0, 125)",0,0.0,-0.0075,-0.05,0.15,0.99,0.981905
7,1500,"(3, 2, 0, 76)",3,-0.05,"(3, 1, 0, 75)",0,-0.0075,-0.013875,-0.0425,0.15,0.99,0.972857
9,2000,"(11, 11, 0, 26)",3,-0.05,"(11, 10, 0, 25)",0,0.0,-0.0075,-0.05,0.15,0.99,0.96381
12,2500,"(5, 1, 0, 201)",3,-0.05,"(5, 1, 0, 200)",0,-0.013875,-0.021354,-0.049861,0.15,0.99,0.950238
14,3000,"(1, 6, 0, 151)",3,-0.05,"(1, 5, 0, 150)",0,0.0,-0.0075,-0.05,0.15,0.99,0.94119
16,3500,"(3, 5, 0, 101)",3,-0.05,"(3, 5, 0, 100)",0,0.0,-0.0075,-0.05,0.15,0.99,0.932143
18,4000,"(11, 9, 0, 51)",3,-0.05,"(11, 8, 0, 50)",0,0.0,-0.0075,-0.05,0.15,0.99,0.923095
20,4500,"(13, 1, 0, 1)",0,-0.05,"(12, 1, 0, 0)",1,-0.0075,-0.013875,-0.0425,0.15,0.99,0.914048
23,5000,"(6, 1, 0, 176)",2,-0.05,"(7, 1, 0, 175)",0,-0.049857,-0.055857,-0.040001,0.15,0.99,0.900476
25,5500,"(9, 1, 0, 126)",0,-0.05,"(8, 1, 0, 125)",0,-0.0075,-0.014989,-0.049925,0.15,0.99,0.891429
27,6000,"(9, 2, 0, 76)",2,-0.05,"(9, 2, 0, 75)",0,-0.028822,-0.034365,-0.036954,0.15,0.99,0.882381
29,6500,"(8, 5, 0, 26)",2,-0.05,"(9, 5, 0, 25)",0,-0.021354,-0.027711,-0.042382,0.15,0.99,0.873333
32,7000,"(4, 3, 0, 201)",0,-0.05,"(3, 3, 0, 200)",0,-0.018015,-0.026952,-0.059583,0.15,0.99,0.859762
34,7500,"(9, 3, 0, 151)",2,-0.05,"(10, 3, 0, 150)",0,-0.008614,-0.016101,-0.049914,0.15,0.99,0.850714
36,8000,"(12, 1, 0, 101)",3,-0.05,"(12, 1, 0, 100)",0,-0.013875,-0.019294,-0.036125,0.15,0.99,0.841667
38,8500,"(11, 9, 0, 51)",1,-0.05,"(11, 10, 0, 50)",0,-0.0075,-0.013875,-0.0425,0.15,0.99,0.832619
40,9000,"(2, 5, 0, 1)",1,-0.05,"(2, 5, 0, 0)",1,-0.036197,-0.038267,-0.013803,0.15,0.99,0.823571
43,9500,"(1, 3, 0, 176)",0,-0.05,"(1, 3, 0, 175)",0,-0.058598,-0.065091,-0.043283,0.15,0.99,0.81
45,10000,"(5, 3, 0, 126)",3,-0.05,"(5, 3, 0, 125)",0,-0.028516,-0.035099,-0.043888,0.15,0.99,0.800952
47,10500,"(3, 12, 0, 76)",0,-0.05,"(3, 11, 0, 75)",0,-0.021354,-0.025651,-0.028646,0.15,0.99,0.791905
49,11000,"(9, 3, 0, 26)",3,-0.05,"(9, 2, 0, 25)",0,-0.037251,-0.040277,-0.020174,0.15,0.99,0.782857
52,11500,"(11, 1, 0, 201)",2,-0.05,"(11, 2, 0, 200)",0,0.0,-0.0075,-0.05,0.15,0.99,0.769286
54,12000,"(5, 3, 0, 151)",0,-0.05,"(4, 3, 0, 150)",0,-0.049694,-0.055545,-0.039004,0.15,0.99,0.760238
56,12500,"(6, 9, 0, 101)",0,-0.05,"(6, 9, 0, 100)",0,-0.0075,-0.014989,-0.049925,0.15,0.99,0.75119
58,13000,"(7, 8, 0, 51)",0,-0.05,"(7, 8, 0, 50)",0,-0.044367,-0.048761,-0.029294,0.15,0.99,0.742143
60,13500,"(7, 5, 0, 1)",1,-0.05,"(7, 6, 0, 0)",1,-0.038138,-0.039917,-0.011862,0.15,0.99,0.733095
63,14000,"(11, 1, 0, 176)",3,-0.05,"(11, 1, 0, 175)",0,-0.037457,-0.044901,-0.049625,0.15,0.99,0.719524
65,14500,"(4, 9, 0, 126)",0,-0.05,"(4, 9, 0, 125)",0,-0.026126,-0.033586,-0.049739,0.15,0.99,0.710476
67,15000,"(9, 2, 0, 76)",1,-0.05,"(9, 2, 0, 75)",0,-0.055167,-0.061539,-0.042483,0.15,0.99,0.701429
69,15500,"(8, 9, 0, 26)",2,-0.05,"(9, 9, 0, 25)",0,0.0,-0.0075,-0.05,0.15,0.99,0.692381
72,16000,"(4, 1, 0, 201)",1,-0.05,"(4, 1, 0, 200)",0,-0.197105,-0.20003,-0.019505,0.15,0.99,0.67881
74,16500,"(8, 1, 0, 151)",1,-0.05,"(8, 1, 0, 150)",0,-0.088944,-0.09631,-0.049111,0.15,0.99,0.669762
76,17000,"(1, 7, 0, 101)",2,-0.05,"(1, 7, 0, 100)",0,-0.045937,-0.053368,-0.049541,0.15,0.99,0.660714
78,17500,"(8, 5, 0, 51)",0,-0.05,"(7, 5, 0, 50)",0,-0.061072,-0.0673,-0.041523,0.15,0.99,0.651667
80,18000,"(6, 9, 0, 1)",3,-0.05,"(7, 9, 0, 0)",1,-0.035288,-0.037495,-0.014712,0.15,0.99,0.642619
