algorithm,run_label,reward_mode,seed,config_hash,episode,steps,reward,mean_return_100,epsilon,alpha,energy_left,outcome,success,goal_success,energy_exhausted,max_steps_reached,wall_collisions,penalty_entries,door_blocked,door_crossings,key_pickups,slips,mean_abs_td_error,max_abs_td_error,mean_active_traces,max_active_traces,cfg_gamma,cfg_energy_bins,cfg_epsilon_schedule,cfg_replacing_traces
sarsa_lambda,sweep_shaped_lam0.3_seed1,shaped,1,4a77b6e251,1,225,-222.75000000000023,-222.75000000000023,0.998,0.1,0,out_of_energy,0,0,1,0,114,15,0,0,0,33,1.163197084761805,19.552349937595892,69.64888888888889,147.0,0.99,8,exponential,True
sarsa_lambda,sweep_shaped_lam0.3_seed1,shaped,1,4a77b6e251,2,225,-169.75000000000006,-196.25000000000014,0.996004,0.1,0,out_of_energy,0,0,1,0,94,10,0,0,0,40,0.9993824089445259,20.55,69.07111111111111,129.0,0.99,8,exponential,True
sarsa_lambda,sweep_shaped_lam0.3_seed1,shaped,1,4a77b6e251,3,225,-306.2500000000012,-232.91666666666717,0.994011992,0.1,0,out_of_energy,0,0,1,0,121,30,0,0,0,44,1.5125157715392696,20.55,70.51555555555555,136.0,0.99,8,exponential,True
sarsa_lambda,sweep_shaped_lam0.3_seed1,shaped,1,4a77b6e251,4,225,-153.24999999999966,-213.00000000000028,0.992023968016,0.1,0,out_of_energy,0,0,1,0,99,4,0,0,0,49,0.8679252051161305,19.097114943836303,71.95555555555555,146.0,0.99,8,exponential,True
sarsa_lambda,sweep_shaped_lam0.3_seed1,shaped,1,4a77b6e251,5,225,-198.75000000000057,-210.15000000000038,0.990039920079968,0.1,0,out_of_energy,0,0,1,0,92,15,0,0,0,60,1.0963963107925931,19.42790126509939,66.32,129.0,0.99,8,exponential,True
sarsa_lambda,sweep_shaped_lam0.3_seed1,shaped,1,4a77b6e251,6,225,-160.74999999999977,-201.91666666666694,0.9880598402398081,0.1,0,out_of_energy,0,0,1,0,104,6,0,0,0,43,0.925330673495445,20.945,71.60888888888888,137.0,0.99,8,exponential,True
sarsa_lambda,sweep_shaped_lam0.3_seed1,shaped,1,4a77b6e251,7,225,-250.75000000000094,-208.8928571428575,0.9860837205593285,0.1,0,out_of_energy,0,0,1,0,98,24,0,0,0,48,1.3316795435892796,19.653199083448477,67.29777777777778,128.0,0.99,8,exponential,True
sarsa_lambda,sweep_shaped_lam0.3_seed1,shaped,1,4a77b6e251,8,225,-192.75000000000017,-206.87500000000034,0.9841115531182099,0.1,0,out_of_energy,0,0,1,0,110,11,0,0,0,43,1.0513055720118556,21.05,66.77333333333333,138.0,0.99,8,exponential,True
sarsa_lambda,sweep_shaped_lam0.3_seed1,shaped,1,4a77b6e251,9,225,-151.24999999999952,-200.69444444444468,0.9821433300119734,0.1,0,out_of_energy,0,0,1,0,101,3,0,0,0,43,0.8356277131353113,20.950400503797976,77.02222222222223,148.0,0.99,8,exponential,True
sarsa_lambda,sweep_shaped_lam0.3_seed1,shaped,1,4a77b6e251,10,225,-243.75000000000125,-205.00000000000037,0.9801790433519495,0.1,0,out_of_energy,0,0,1,0,96,22,0,0,0,41,1.2639308212285594,18.264538056370363,60.65777777777778,133.0,0.99,8,exponential,True
