algorithm,run_label,reward_mode,seed,config_hash,episode,steps,reward,mean_return_100,epsilon,alpha,energy_left,outcome,success,goal_success,energy_exhausted,max_steps_reached,wall_collisions,penalty_entries,door_blocked,door_crossings,key_pickups,slips,mean_abs_td_error,max_abs_td_error,mean_active_traces,max_active_traces,cfg_gamma,cfg_energy_bins,cfg_epsilon_schedule,cfg_replacing_traces
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,1,225,-11.250000000000025,-11.250000000000025,0.998,0.1,0,out_of_energy,0,0,1,0,111,28,0,0,0,34,0.04930537189077578,0.0723031244645,62.79555555555555,125.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,2,225,-11.250000000000025,-11.250000000000025,0.996004,0.1,0,out_of_energy,0,0,1,0,124,12,0,0,0,47,0.04922421990423157,0.06629045830491591,62.43555555555555,115.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,3,225,-11.250000000000025,-11.250000000000023,0.994011992,0.1,0,out_of_energy,0,0,1,0,120,18,0,0,0,43,0.049233033589565434,0.07407382534249991,62.471111111111114,120.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,4,225,-11.250000000000025,-11.250000000000025,0.992023968016,0.1,0,out_of_energy,0,0,1,0,103,17,0,0,0,45,0.04914883813953242,0.06448143686,69.17777777777778,136.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,5,225,-11.250000000000025,-11.250000000000025,0.990039920079968,0.1,0,out_of_energy,0,0,1,0,113,6,0,0,0,51,0.04912766748457113,0.08203661020563356,67.78666666666666,135.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,6,225,-11.250000000000025,-11.250000000000027,0.9880598402398081,0.1,0,out_of_energy,0,0,1,0,112,12,0,0,0,44,0.049014835035578935,0.07277286007967082,64.07555555555555,131.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,7,225,-11.250000000000025,-11.250000000000027,0.9860837205593285,0.1,0,out_of_energy,0,0,1,0,122,15,0,0,0,46,0.048919018739061786,0.08691857587972654,53.431111111111115,113.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,8,225,-11.250000000000025,-11.250000000000025,0.9841115531182099,0.1,0,out_of_energy,0,0,1,0,110,30,0,0,0,32,0.048985682365871024,0.0810322805111254,60.91111111111111,128.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,9,225,-11.250000000000025,-11.250000000000025,0.9821433300119734,0.1,0,out_of_energy,0,0,1,0,110,9,0,0,0,45,0.04906446482277412,0.08775418223313092,67.96,137.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,10,225,-11.250000000000025,-11.250000000000025,0.9801790433519495,0.1,0,out_of_energy,0,0,1,0,99,40,0,0,0,41,0.04895656062634098,0.10041984792808645,70.63555555555556,136.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,11,225,-11.250000000000025,-11.250000000000027,0.9782186852652456,0.1,0,out_of_energy,0,0,1,0,118,2,0,0,0,47,0.04880717957862987,0.0821201688742536,64.22222222222223,131.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,12,225,-11.250000000000025,-11.250000000000027,0.976262247894715,0.1,0,out_of_energy,0,0,1,0,111,21,0,0,0,50,0.04868178821082361,0.0761390532986,67.85777777777778,129.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,13,225,-11.250000000000025,-11.250000000000027,0.9743097233989256,0.1,0,out_of_energy,0,0,1,0,104,38,0,0,0,38,0.0489694090544072,0.08134228168653636,62.49777777777778,124.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,14,225,-11.250000000000025,-11.250000000000027,0.9723611039521278,0.1,0,out_of_energy,0,0,1,0,102,2,0,0,0,40,0.04887493359798534,0.07547923263355648,71.70222222222222,140.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,15,225,-11.250000000000025,-11.250000000000027,0.9704163817442236,0.1,0,out_of_energy,0,0,1,0,106,3,0,0,0,45,0.048736944044085025,0.08457998220128152,67.88,123.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,16,225,-11.250000000000025,-11.250000000000025,0.9684755489807352,0.1,0,out_of_energy,0,0,1,0,104,15,0,0,0,46,0.0487248577431892,0.08679298976836974,69.64,140.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,17,225,-11.250000000000025,-11.250000000000025,0.9665385978827737,0.1,0,out_of_energy,0,0,1,0,112,24,0,0,0,46,0.049454591511394516,0.08515101828035626,64.95111111111112,144.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,18,225,-11.250000000000025,-11.250000000000025,0.9646055206870082,0.1,0,out_of_energy,0,0,1,0,109,13,0,0,0,51,0.04863472852085809,0.07709944170819136,66.65333333333334,129.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,19,225,-11.250000000000025,-11.250000000000025,0.9626763096456342,0.1,0,out_of_energy,0,0,1,0,96,9,0,0,0,37,0.04863544157920316,0.10221390116994838,76.06222222222222,150.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,20,225,-11.250000000000025,-11.250000000000025,0.9607509570263429,0.1,0,out_of_energy,0,0,1,0,91,22,0,0,0,33,0.04892330491136856,0.08562658527504932,73.91555555555556,145.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,21,225,-11.250000000000025,-11.250000000000025,0.9588294551122902,0.1,0,out_of_energy,0,0,1,0,126,17,0,0,0,46,0.048527295435859805,0.09815535186203475,48.38666666666666,103.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,22,225,-11.250000000000025,-11.250000000000027,0.9569117962020657,0.1,0,out_of_energy,0,0,1,0,129,0,0,0,0,48,0.04878838050762157,0.08609146877408935,51.33777777777778,108.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,23,225,-11.250000000000025,-11.250000000000025,0.9549979726096616,0.1,0,out_of_energy,0,0,1,0,139,0,0,0,0,43,0.04881910387869839,0.15000426131428007,53.03111111111111,104.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,24,225,-11.250000000000025,-11.250000000000023,0.9530879766644422,0.1,0,out_of_energy,0,0,1,0,113,8,0,0,0,43,0.04781817393023853,0.09060819228581399,56.78666666666667,111.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,25,225,-11.250000000000025,-11.250000000000023,0.9511818007111134,0.1,0,out_of_energy,0,0,1,0,108,0,0,0,0,32,0.04835187247319981,0.08169985318628063,69.92444444444445,130.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,26,225,-11.250000000000025,-11.250000000000021,0.9492794371096911,0.1,0,out_of_energy,0,0,1,0,105,13,0,0,0,59,0.04835603202066816,0.08878803031606303,65.56,129.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,27,225,-11.250000000000025,-11.250000000000021,0.9473808782354717,0.1,0,out_of_energy,0,0,1,0,98,9,0,0,0,45,0.04837177697522154,0.09876240127278349,70.67111111111112,141.0,0.99,8,exponential,True
sarsa_lambda,sweep_sparse_lam0.0_seed2,sparse,2,4a77b6e251,28,225,-11.250000000000025,-11.25000000000002,0.9454861164790007,0.1,0,out_of_energy,0,0,1,0,94,12,0,0,0,43,0.048906145736723756,0.11291055742460557,67.91555555555556,128.0,0.99,8,exponential,True
